"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1924759524550025266","Tue May 20 09:30:05 +0000 2025","0","Elton John Tuding Pemerintah Inggris Dukung AI Curi Hak Cipta https://t.co/LpV0oqSIzy","1924759524550025266","","","in","","0","0","0","https://x.com/undefined/status/1924759524550025266","990237626",
"1924715979805999579","Tue May 20 06:37:03 +0000 2025","0","Elton John Murka: Pemerintah Inggris dan Ancaman AI terhadap Hak Cipta Musik Elton John Murka Belakangan ini dunia musik dihebohkan dengan pernyataan tegas dari legenda musik dunia Sir Elton John. Musisi asal Inggris ini menyampaikan kemarahannya kepada Pemerintah Inggris https://t.co/qTlOodbwuF","1924715979805999579","https://pbs.twimg.com/media/GrX27fSbAAIcAu8.jpg","","in","","0","0","0","https://x.com/undefined/status/1924715979805999579","1911740506847297536",
"1924704839273218115","Tue May 20 05:52:47 +0000 2025","6","Penyanyi legendaris Elton John mengecam keras rencana Pemerintah Inggris yang memungkinkan perusahaan AI menggunakan karya seniman yang dilindungi hak cipta tanpa izin pemiliknya. ~MD #EltonJohn #HakCipta #AI https://t.co/WFYq5aAjB5","1924704839273218115","","","in","","0","0","3","https://x.com/undefined/status/1924704839273218115","23343960",
"1924469660302623177","Mon May 19 15:01:36 +0000 2025","0","@firartfolio Sebenarnya tugas akhir aku tentang ilustrasi AI jd mayan paham soal AI klo dari 1 gambar tetep aja mereka ngaco gk akan bisa generate art style klo database artstyle yg mirip2 kurang banyak mereka gk ada hak cipta juga. Cmn emng mirisnya ada org2 yg menyalahgunakan itu","1924480564104745152","","firartfolio","in","","0","0","0","https://x.com/undefined/status/1924480564104745152","1463426677908799495",
"1924321618232283611","Mon May 19 04:30:00 +0000 2025","0","Well said Elton John! Musisi Legendaris Elton John kecewa soal aturan AI dan hak cipta gaes! Cek selengkapnya deh! #EltonJohn #Medcomid #MudaMemberiArti https://t.co/zNEqKzlNjB","1924321618232283611","","","in","","0","0","0","https://x.com/undefined/status/1924321618232283611","902837643024539651",
"1924306926311292930","Mon May 19 03:31:37 +0000 2025","0","Video Murka Elton John ke Pemerintah Inggris soal AI Ancam Hak Cipta Musik https://t.co/6BPxJINXJZ","1924306926311292930","","","in","","0","0","0","https://x.com/undefined/status/1924306926311292930","598959076",
"1924024755092623863","Sun May 18 15:16:48 +0000 2025","0","@kkollkkull Wah tolol banget kalau idol BTS dijadiin properti musik video AI. Melanggar hak cipta gak sih?","1924122003545718833","","kkollkkull","in","","0","1","0","https://x.com/undefined/status/1924122003545718833","410406372",
"1924055176941645834","Sun May 18 11:42:07 +0000 2025","8","@NCTDreamINA Berawal dr cover Ai Tear Bridge Chenle yg populer di Tiongkok terus fans info ke Chenle agar cover lagu tsb. Chenle kemudian mengusahakan utk dapat hak cipta cover lagu Tear Bridge lewat TME. Thanks @TME_official_ krn dasarnya schedule solo Chenle ga ada di planning SM th ini.","1924067973591167271","","NCTDreamINA","in","","0","0","0","https://x.com/undefined/status/1924067973591167271","1638859311500902401",
"1923672564867711237","Sat May 17 11:20:53 +0000 2025","0","@jisukcaffeine Iyaaa kemaren sempet liat juga para author jdi korban AI ️ Emang AI nih dari sononya gak mikirin hak cipta ngerugiin creator marah lah pokoknya maraaahhh ","1923700245466399154","","jisukcaffeine","in","","0","1","0","https://x.com/undefined/status/1923700245466399154","1712680876310745088",
"1923402030149677519","Fri May 16 15:37:34 +0000 2025","0","anti kritik dan keras kepala. sering pakek AI tapi bingungnya gak sadar2 padahal vokal banget soal hak cipta di sosmed. oh iya seri bumi harusnya stop di komet minor.","1923402451463413973","","zeeamays_","in","","0","0","0","https://x.com/undefined/status/1923402451463413973","1272419774257979392",
"1923006516262470057","Thu May 15 13:24:24 +0000 2025","0","Berbeda dengan kompetitor seperti Suno dan Udio yang berbasis cloud Stable Audio dapat digunakan secara offline. Dataset-nya pun bersumber dari musik bebas royalti menghindari risiko pelanggaran hak cipta. #CainNews","1923006551368806457","","caincommunity","in","","0","1","0","https://x.com/undefined/status/1923006551368806457","1918539068826370048",
"1922574300827021381","Wed May 14 09:12:58 +0000 2025","0","@salensword @cekstatusandy gaakan sih generate by ai sm seni hasil karya manusia itu feelnya beda yg sering jd permasalahan tuh kan mengenai hak cipta ai suka main asal comot data dari artist.","1922580889176780936","","salensword","in","","0","1","0","https://x.com/undefined/status/1922580889176780936","1781087087997116416",
"1921948284349722800","Tue May 13 11:33:19 +0000 2025","0","@cungss Maksud saya apakah sudah bisa diterapkan ? Kalau sudah bisa diterapkan sudah dilevel mana AI bisa diandalkan di bidang arsitektur untuk saat ini? Saya termasuk masih skeptis dengan AI dibidang arsitektur terutama prihal hak cipta","1922253822488924408","","cungss","in","","0","1","0","https://x.com/undefined/status/1922253822488924408","103520695",
